,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Plettenberg Bay,13,ZA,1577477384,83,-34.05,23.37,60.03,10.54
1,Hilo,1,US,1577477386,61,19.71,-155.08,80.6,8.72
2,Yerbogachen,95,RU,1577477133,97,61.28,108.01,-23.53,2.42
3,Asyut,0,EG,1577477388,56,27.18,31.19,53.6,11.41
4,Norman Wells,90,CA,1577477389,75,65.28,-126.83,-18.4,10.29
5,Punta Arenas,75,CL,1577477390,62,-53.16,-70.91,59.0,20.8
6,Kikwit,100,CD,1577477391,93,-5.04,18.82,72.03,0.78
7,Hamilton,90,CA,1577477371,87,43.26,-79.87,46.4,13.87
8,Gamba,0,CN,1577477393,24,28.28,88.52,4.35,3.2
9,Itarema,68,BR,1577477394,73,-2.92,-39.92,80.56,12.17
10,Belmonte,0,PT,1577477395,23,40.36,-7.35,51.01,4.23
11,Avarua,21,CK,1577477396,65,-21.21,-159.78,77.0,12.75
12,Porto Novo,40,BR,1577477397,58,-23.68,-45.44,82.4,14.99
13,Thompson,75,CA,1577477399,85,55.74,-97.86,15.8,6.93
14,Busselton,0,AU,1577477400,60,-33.64,115.35,54.0,5.91
15,San Andres,0,PH,1577477401,95,13.32,122.68,73.99,3.29
16,Ouahigouya,0,BF,1577477402,12,13.58,-2.42,72.86,8.77
17,Fayaoue,46,NC,1577477403,84,-20.65,166.53,78.15,24.49
18,Yaan,12,NG,1577477406,18,7.38,8.57,79.7,4.14
19,Jamestown,100,AU,1577477407,24,-33.21,138.6,82.92,16.08
20,Ushuaia,40,AR,1577477154,39,-54.81,-68.31,64.4,17.22
21,Balkanabat,100,TM,1577477409,54,39.51,54.36,48.13,1.68
22,Port Alfred,85,ZA,1577477215,75,-33.59,26.89,64.99,5.01
23,Albany,90,US,1577477243,75,42.65,-73.75,46.99,11.41
24,Tilichiki,0,RU,1577477413,90,60.47,166.1,-22.04,9.44
25,Nikolskoye,90,RU,1577477414,82,59.7,30.79,32.0,11.18
26,Arraial do Cabo,20,BR,1577477415,78,-22.97,-42.02,84.2,20.8
27,Rikitea,99,PF,1577477416,86,-23.12,-134.97,77.23,13.96
28,Leningradskiy,100,RU,1577477417,93,69.38,178.42,-11.43,15.46
29,Skelleftea,1,SE,1577477418,84,64.75,20.95,5.0,4.7
30,Muravlenko,100,RU,1577477419,95,63.79,74.5,1.76,21.21
31,East London,56,ZA,1577477420,63,-33.02,27.91,66.52,8.48
32,Dikson,100,RU,1577477421,96,73.51,80.55,-9.15,10.0
33,Broome,75,GB,1577477422,93,52.47,1.45,46.0,4.7
